genes,pvals,ctrlmean,eosmean,foldchange,pvalcorr,eosfrac,ctrlfrac,totalfrac,idx
TNC,0.33287243683836043,22.554561315138603,22.757699058685276,-0.012935473806419968,0.9078590785907859,0.9285714285714286,0.94,0.9390243902439024,0.011428571428571344
AZGP1,0.47097097471214333,27.52187538923029,27.424488411889595,0.005114072948941407,0.9756929798946605,1.0,1.0,1.0,0.0
MSN,0.472072072072072,19.819114705882352,19.175636666666666,0.04761804197775431,0.9756929798946605,0.21428571428571427,0.22666666666666666,0.22560975609756098,0.012380952380952381
MST1;MST1L,0.4934507678410117,22.53224036049826,22.924973333333337,-0.024929289074961933,0.9756929798946605,0.21428571428571427,0.5266666666666666,0.5,0.3123809523809523
PON1,0.13230017571003388,24.72639343507861,24.34490269760388,0.0224320907251866,0.7915609569470291,1.0,0.9866666666666667,0.9878048780487805,0.013333333333333308
SERPINA4,0.17494993248004143,25.14616072256362,24.740131269285712,0.02348499320093462,0.8160489709364906,1.0,1.0,1.0,0.0
BLVRB,0.7822520698874638,23.42790222150163,23.326400287383812,0.006264089471593459,0.996282527881041,0.6428571428571429,0.7333333333333333,0.725609756097561,0.09047619047619038
PRDX2,0.9361220901193553,24.435233193251968,24.32553136692308,0.006491553168852487,1.0,0.9285714285714286,0.9933333333333333,0.9878048780487805,0.06476190476190469
CDH5,0.6802044609757603,22.185207267849698,22.310475982034948,-0.008123261269645006,0.9756929798946605,0.9285714285714286,0.98,0.975609756097561,0.05142857142857138
PRSS3,0.8967418587668285,20.8766423655914,20.944657777777778,-0.0046926128093495965,1.0,0.6428571428571429,0.62,0.6219512195121951,0.02285714285714291
THBS4,0.6786741009061306,20.836642218766563,21.039181269285713,-0.013955754799942332,0.9756929798946605,1.0,0.9866666666666667,0.9878048780487805,0.013333333333333308
SAA4,0.1091710467391048,22.160509464444445,23.12934,-0.061733050032961825,0.7915609569470291,0.2857142857142857,0.36,0.35365853658536583,0.07428571428571429
IGFALS,0.3168818437878277,23.82799924572172,23.48318398053786,0.021029788207309368,0.892062333352288,0.8571428571428571,0.9866666666666667,0.975609756097561,0.1295238095238096
SERPINF1,0.5861984822093665,26.650876722469068,26.572191983318167,0.0042657504886832644,0.9756929798946605,1.0,1.0,1.0,0.0
CFHR2,0.634988540870894,21.689963750000004,21.96605666666667,-0.018248259390973694,0.9756929798946605,0.21428571428571427,0.21333333333333335,0.21341463414634146,0.0009523809523809268
PTGDS,0.3947569575231801,23.788694051892627,24.157329680922043,-0.02218491680219387,0.9756929798946605,0.5,0.7,0.6829268292682927,0.19999999999999996
BTD,0.3667063209890684,21.99182360881817,21.812911615454546,0.01178488487742835,0.9522993607080459,0.7857142857142857,0.8133333333333334,0.8109756097560976,0.027619047619047654
AFM,0.053212885277149555,28.51715072263453,28.07187412617531,0.0227044589567848,0.6846886882302049,1.0,1.0,1.0,0.0
MASP1,0.631568405869004,21.906591449275364,21.7041675,0.013392939361620752,0.9756929798946605,0.2857142857142857,0.46,0.4451219512195122,0.17428571428571432
COMP,0.6484614294923954,22.109838814832383,21.93506059741956,0.011449815728687337,0.9756929798946605,0.9285714285714286,0.98,0.975609756097561,0.05142857142857138
LUM,0.6739228439324428,26.829059055896955,26.85660269760388,-0.0014803609562509628,0.9756929798946605,1.0,1.0,1.0,0.0
PLTP,0.17765498083497466,21.226630915301428,21.610114196666668,-0.025831290731882933,0.8160489709364906,0.42857142857142855,0.5066666666666667,0.5,0.07809523809523816
TPI1,0.19600650186548893,21.745963710508736,21.389544518,0.023841884576536288,0.8160489709364906,0.35714285714285715,0.3466666666666667,0.3475609756097561,0.010476190476190472
ACTG1;ACTB;POTEE;POTEF,0.46825694630572684,23.353681578947366,22.953937500000002,0.024908347154494286,0.9756929798946605,0.2857142857142857,0.25333333333333335,0.25609756097560976,0.032380952380952344
LYZ,0.6466683415922048,23.525014158737054,23.6199756475,-0.005811886045818389,0.9756929798946605,0.8571428571428571,0.8666666666666667,0.8658536585365854,0.009523809523809601
B2M,0.09524253239064152,24.826563722634535,25.170813411889593,-0.019867248906819485,0.7558865635925225,1.0,1.0,1.0,0.0
HIST1H4A,1.0,15.404683333333333,14.266,0.11078814721999522,1.0,0.07142857142857142,0.02,0.024390243902439025,0.05142857142857142
PPIA,0.058921838859269375,21.504362213138908,20.76327972125,0.05059499718461072,0.6846886882302049,0.5714285714285714,0.5933333333333334,0.5914634146341463,0.021904761904761982
